M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.2641,-1.4714,6.325e-01
0.92,0.90,-0.0458,-0.0924,5.824e-01
0.94,0.90,0.1053,0.0276,5.405e-01
0.96,0.90,0.1646,0.0270,5.056e-01
0.98,0.90,0.2251,0.0262,4.770e-01
1.00,0.90,0.2862,0.0254,4.538e-01
1.02,0.90,0.3475,0.0244,4.355e-01
1.04,0.90,0.4085,0.0233,4.214e-01
1.06,0.90,0.4689,0.0220,4.109e-01
1.08,0.90,0.5281,0.0205,4.036e-01
1.10,0.90,0.5859,0.0188,3.990e-01
1.12,0.90,0.6419,0.0170,3.967e-01
1.14,0.90,0.6958,0.0150,3.964e-01
1.16,0.90,0.7475,0.0128,3.976e-01
1.18,0.90,0.7969,0.0105,4.001e-01
1.20,0.90,0.8439,0.0079,4.037e-01
1.22,0.90,0.8884,0.0053,4.081e-01
1.24,0.90,0.9305,0.0025,4.131e-01
1.26,0.90,0.9702,-0.0004,4.185e-01
1.28,0.90,1.0076,-0.0035,4.243e-01
1.30,0.90,1.0427,-0.0066,4.302e-01
1.32,0.90,1.0622,0.0137,4.362e-01
1.34,0.90,1.3909,0.4101,4.423e-01
1.36,0.90,0.8347,-1.0418,4.483e-01
1.38,0.90,2.0176,-0.8162,4.541e-01
1.40,0.90,2.0520,-0.7854,4.599e-01
1.42,0.90,2.0511,-0.7828,4.655e-01
1.44,0.90,2.0502,-0.7804,4.709e-01
1.46,0.90,2.0494,-0.7783,4.760e-01
1.48,0.90,2.0486,-0.7764,4.810e-01
1.50,0.90,2.0480,-0.7747,4.857e-01
1.52,0.90,2.0474,-0.7732,4.902e-01
1.54,0.90,2.0468,-0.7718,4.944e-01
1.56,0.90,2.0463,-0.7705,4.983e-01
1.58,0.90,2.0459,-0.7694,5.020e-01
1.60,0.90,2.0455,-0.7683,5.053e-01
1.62,0.90,2.0451,-0.7674,5.083e-01
1.64,0.90,2.0447,-0.7665,5.110e-01
1.66,0.90,2.0444,-0.7657,5.132e-01
1.68,0.90,2.0441,-0.7650,5.149e-01
1.70,0.90,2.0439,-0.7644,5.159e-01
1.72,0.90,2.0437,-0.7638,5.161e-01
1.74,0.90,2.0435,-0.7634,5.154e-01
1.76,0.90,2.0433,-0.7630,5.134e-01
1.78,0.90,2.0919,-0.7111,3.836e-01
1.80,0.90,2.1690,-0.6248,2.714e-01
1.82,0.90,2.2103,-0.5813,2.023e-01
1.84,0.90,2.2187,-0.5767,1.573e-01
1.86,0.90,2.1993,-0.6053,1.265e-01
1.88,0.90,2.1583,-0.6603,1.046e-01
1.90,0.90,2.1020,-0.7349,8.860e-02
1.92,0.90,2.0364,-0.8223,7.670e-02
1.94,0.90,1.9664,-0.9168,6.772e-02
1.96,0.90,1.8957,-1.0132,6.089e-02
1.98,0.90,1.8268,-1.1075,5.566e-02
2.00,0.90,1.7612,-1.1965,5.164e-02
2.02,0.90,1.6995,-1.2785,4.853e-02
2.04,0.90,1.6417,-1.3523,4.608e-02
0.92,0.92,-0.0731,-0.2255,5.210e-01
0.94,0.92,0.1888,0.1517,4.838e-01
0.96,0.92,0.2197,0.0263,4.530e-01
0.98,0.92,0.2777,0.0255,4.276e-01
1.00,0.92,0.3366,0.0246,4.072e-01
1.02,0.92,0.3960,0.0235,3.912e-01
1.04,0.92,0.4555,0.0223,3.790e-01
1.06,0.92,0.5146,0.0208,3.702e-01
1.08,0.92,0.5731,0.0192,3.644e-01
1.10,0.92,0.6303,0.0174,3.610e-01
1.12,0.92,0.6860,0.0154,3.599e-01
1.14,0.92,0.7399,0.0132,3.606e-01
1.16,0.92,0.7918,0.0107,3.629e-01
1.18,0.92,0.8415,0.0081,3.664e-01
1.20,0.92,0.8888,0.0053,3.710e-01
1.22,0.92,0.9337,0.0023,3.764e-01
1.24,0.92,0.9762,-0.0009,3.824e-01
1.26,0.92,1.0163,-0.0042,3.888e-01
1.28,0.92,1.0541,-0.0077,3.956e-01
1.30,0.92,1.0896,-0.0112,4.025e-01
1.32,0.92,1.1251,0.0340,4.095e-01
1.34,0.92,1.3829,0.2702,4.166e-01
1.36,0.92,0.9442,-0.6378,4.235e-01
1.38,0.92,1.6576,-1.1384,4.303e-01
1.40,0.92,2.0501,-0.7803,4.370e-01
1.42,0.92,2.0492,-0.7779,4.435e-01
1.44,0.92,2.0484,-0.7758,4.497e-01
1.46,0.92,2.0476,-0.7739,4.557e-01
1.48,0.92,2.0470,-0.7722,4.614e-01
1.50,0.92,2.0464,-0.7706,4.668e-01
1.52,0.92,2.0458,-0.7693,4.720e-01
1.54,0.92,2.0453,-0.7680,4.768e-01
1.56,0.92,2.0449,-0.7669,4.814e-01
1.58,0.92,2.0445,-0.7659,4.856e-01
1.60,0.92,2.0441,-0.7649,4.894e-01
1.62,0.92,2.0438,-0.7641,4.927e-01
1.64,0.92,2.0435,-0.7633,4.956e-01
1.66,0.92,2.0432,-0.7626,4.980e-01
1.68,0.92,2.0430,-0.7620,4.996e-01
1.70,0.92,2.0427,-0.7615,5.004e-01
1.72,0.92,2.0426,-0.7610,5.002e-01
1.74,0.92,2.0846,-0.7156,3.838e-01
1.76,0.92,2.1661,-0.6228,2.687e-01
1.78,0.92,2.2101,-0.5745,1.988e-01
1.80,0.92,2.2194,-0.5668,1.536e-01
1.82,0.92,2.1988,-0.5941,1.229e-01
1.84,0.92,2.1549,-0.6493,1.012e-01
1.86,0.92,2.0942,-0.7253,8.532e-02
1.88,0.92,2.0232,-0.8151,7.346e-02
1.90,0.92,1.9475,-0.9123,6.445e-02
1.92,0.92,1.8713,-1.0116,5.753e-02
1.94,0.92,1.7976,-1.1084,5.219e-02
1.96,0.92,1.7280,-1.1996,4.806e-02
1.98,0.92,1.6633,-1.2833,4.486e-02
2.00,0.92,1.6037,-1.3582,4.236e-02
2.02,0.92,1.5492,-1.4242,4.040e-02
2.04,0.92,1.4995,-1.4813,3.882e-02
0.94,0.94,0.3983,0.4850,4.357e-01
0.96,0.94,0.3006,0.1113,4.082e-01
0.98,0.94,0.3343,0.0246,3.857e-01
1.00,0.94,0.3910,0.0236,3.675e-01
1.02,0.94,0.4483,0.0224,3.534e-01
1.04,0.94,0.5059,0.0211,3.427e-01
1.06,0.94,0.5635,0.0195,3.351e-01
1.08,0.94,0.6207,0.0177,3.303e-01
1.10,0.94,0.6770,0.0157,3.279e-01
1.12,0.94,0.7321,0.0135,3.275e-01
1.14,0.94,0.7857,0.0110,3.290e-01
1.16,0.94,0.8374,0.0083,3.319e-01
1.18,0.94,0.8870,0.0054,3.361e-01
1.20,0.94,0.9345,0.0022,3.414e-01
1.22,0.94,0.9796,-0.0012,3.474e-01
1.24,0.94,1.0223,-0.0047,3.542e-01
1.26,0.94,1.0626,-0.0085,3.613e-01
1.28,0.94,1.1006,-0.0124,3.688e-01
1.30,0.94,1.1349,-0.0167,3.766e-01
1.32,0.94,1.1835,0.0502,3.844e-01
1.34,0.94,1.3472,0.1185,3.922e-01
1.36,0.94,1.0667,-0.2741,3.999e-01
1.38,0.94,1.2581,-1.5048,4.076e-01
1.40,0.94,2.0483,-0.7757,4.150e-01
1.42,0.94,2.0475,-0.7735,4.222e-01
1.44,0.94,2.0468,-0.7716,4.292e-01
1.46,0.94,2.0461,-0.7699,4.359e-01
1.48,0.94,2.0455,-0.7684,4.424e-01
1.50,0.94,2.0449,-0.7670,4.485e-01
1.52,0.94,2.0445,-0.7658,4.543e-01
1.54,0.94,2.0440,-0.7647,4.597e-01
1.56,0.94,2.0436,-0.7637,4.647e-01
1.58,0.94,2.0432,-0.7627,4.693e-01
1.60,0.94,2.0429,-0.7619,4.735e-01
1.62,0.94,2.0426,-0.7612,4.772e-01
1.64,0.94,2.0423,-0.7605,4.802e-01
1.66,0.94,2.0421,-0.7599,4.825e-01
1.68,0.94,2.0419,-0.7594,4.839e-01
1.70,0.94,2.0681,-0.7315,3.950e-01
1.72,0.94,2.1573,-0.6285,2.720e-01
1.74,0.94,2.2073,-0.5717,1.988e-01
1.76,0.94,2.2204,-0.5578,1.521e-01
1.78,0.94,2.2012,-0.5812,1.208e-01
1.80,0.94,2.1563,-0.6348,9.886e-02
1.82,0.94,2.0926,-0.7110,8.291e-02
1.84,0.94,2.0171,-0.8022,7.099e-02
1.86,0.94,1.9359,-0.9018,6.190e-02
1.88,0.94,1.8541,-1.0036,5.488e-02
1.90,0.94,1.7751,-1.1031,4.941e-02
1.92,0.94,1.7009,-1.1967,4.514e-02
1.94,0.94,1.6325,-1.2822,4.180e-02
1.96,0.94,1.5701,-1.3587,3.918e-02
1.98,0.94,1.5137,-1.4258,3.713e-02
2.00,0.94,1.4629,-1.4835,3.552e-02
2.02,0.94,1.4176,-1.5320,3.424e-02
2.04,0.94,1.3769,-1.5707,3.319e-02
0.96,0.96,0.6919,0.5792,3.703e-01
0.98,0.96,0.3875,0.0580,3.501e-01
1.00,0.96,0.4493,0.0224,3.339e-01
1.02,0.96,0.5045,0.0211,3.212e-01
1.04,0.96,0.5601,0.0196,3.117e-01
1.06,0.96,0.6159,0.0179,3.050e-01
1.08,0.96,0.6716,0.0159,3.009e-01
1.10,0.96,0.7266,0.0137,2.991e-01
1.12,0.96,0.7808,0.0113,2.992e-01
1.14,0.96,0.8335,0.0085,3.010e-01
1.16,0.96,0.8847,0.0055,3.044e-01
1.18,0.96,0.9340,0.0022,3.090e-01
1.20,0.96,0.9813,-0.0013,3.146e-01
1.22,0.96,1.0263,-0.0051,3.211e-01
1.24,0.96,1.0689,-0.0091,3.283e-01
1.26,0.96,1.1093,-0.0133,3.359e-01
1.28,0.96,1.1473,-0.0177,3.440e-01
1.30,0.96,1.1580,-0.0207,3.522e-01
1.32,0.96,1.2396,0.0637,3.607e-01
1.34,0.96,1.3218,-0.0037,3.691e-01
1.36,0.96,1.2052,0.0058,3.775e-01
1.38,0.96,1.1312,-1.4338,3.858e-01
1.40,0.96,2.0467,-0.7716,3.939e-01
1.42,0.96,2.0460,-0.7696,4.018e-01
1.44,0.96,2.0453,-0.7679,4.094e-01
1.46,0.96,2.0447,-0.7664,4.168e-01
1.48,0.96,2.0442,-0.7650,4.238e-01
1.50,0.96,2.0437,-0.7638,4.305e-01
1.52,0.96,2.0432,-0.7627,4.368e-01
1.54,0.96,2.0428,-0.7617,4.427e-01
1.56,0.96,2.0425,-0.7608,4.482e-01
1.58,0.96,2.0421,-0.7600,4.532e-01
1.60,0.96,2.0418,-0.7593,4.576e-01
1.62,0.96,2.0416,-0.7587,4.614e-01
1.64,0.96,2.0413,-0.7581,4.644e-01
1.66,0.96,2.0419,-0.7595,4.192e-01
1.68,0.96,2.1413,-0.6434,2.821e-01
1.70,0.96,2.2008,-0.5744,2.026e-01
1.72,0.96,2.2210,-0.5507,1.530e-01
1.74,0.96,2.2062,-0.5673,1.203e-01
1.76,0.96,2.1626,-0.6169,9.760e-02
1.78,0.96,2.0976,-0.6916,8.128e-02
1.80,0.96,2.0187,-0.7834,6.917e-02
1.82,0.96,1.9328,-0.8847,5.996e-02
1.84,0.96,1.8455,-0.9890,5.281e-02
1.86,0.96,1.7608,-1.0912,4.721e-02
1.88,0.96,1.6813,-1.1875,4.279e-02
1.90,0.96,1.6082,-1.2755,3.930e-02
1.92,0.96,1.5421,-1.3541,3.654e-02
1.94,0.96,1.4828,-1.4227,3.437e-02
1.96,0.96,1.4300,-1.4817,3.266e-02
1.98,0.96,1.3833,-1.5309,3.132e-02
