M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-1.5061,-1.4806,2.054e-03
0.92,0.90,-4.5668,-0.0896,2.128e-03
0.94,0.90,-7.3177,0.0319,2.250e-03
0.96,0.90,-7.3177,0.0319,2.418e-03
0.98,0.90,-7.3177,0.0319,2.633e-03
1.00,0.90,-7.3177,0.0319,2.894e-03
1.02,0.90,-7.3177,0.0319,3.200e-03
1.04,0.90,-7.3177,0.0319,3.550e-03
1.06,0.90,-7.3177,0.0319,3.946e-03
1.08,0.90,-7.3177,0.0319,4.386e-03
1.10,0.90,-7.3177,0.0319,4.871e-03
1.12,0.90,-7.3177,0.0319,5.401e-03
1.14,0.90,-7.3177,0.0319,5.978e-03
1.16,0.90,-7.3177,0.0319,6.600e-03
1.18,0.90,-7.3177,0.0319,7.269e-03
1.20,0.90,-7.3177,0.0319,7.985e-03
1.22,0.90,-7.3177,0.0319,8.750e-03
1.24,0.90,-7.3177,0.0319,9.563e-03
1.26,0.90,-7.3177,0.0319,1.043e-02
1.28,0.90,-7.3177,0.0319,1.134e-02
1.30,0.90,-7.3177,0.0319,1.230e-02
1.32,0.90,-4.8567,0.0545,1.332e-02
1.34,0.90,-3.6107,0.5150,1.439e-02
1.36,0.90,-2.3635,-1.0721,1.552e-02
1.38,0.90,1.9170,-5.0223,1.670e-02
1.40,0.90,2.1901,-5.3264,1.794e-02
1.42,0.90,2.1901,-5.3264,1.923e-02
1.44,0.90,2.1901,-5.3264,2.059e-02
1.46,0.90,2.1901,-5.3264,2.201e-02
1.48,0.90,2.1901,-5.3264,2.349e-02
1.50,0.90,2.1901,-5.3264,2.503e-02
1.52,0.90,2.1901,-5.3264,2.663e-02
1.54,0.90,2.1901,-5.3264,2.831e-02
1.56,0.90,2.1901,-5.3264,3.005e-02
1.58,0.90,2.1901,-5.3264,3.186e-02
1.60,0.90,2.1901,-5.3264,3.374e-02
1.62,0.90,2.1901,-5.3264,3.569e-02
1.64,0.90,2.1901,-5.3264,3.771e-02
1.66,0.90,2.1901,-5.3264,3.981e-02
1.68,0.90,2.1901,-5.3264,4.199e-02
1.70,0.90,2.1901,-5.3264,4.425e-02
1.72,0.90,2.1901,-5.3264,4.659e-02
1.74,0.90,2.1901,-5.3264,4.901e-02
1.76,0.90,2.1901,-5.3264,5.152e-02
1.78,0.90,2.1901,-5.3264,5.411e-02
1.80,0.90,2.1901,-5.3264,5.679e-02
1.82,0.90,2.1901,-5.3264,5.956e-02
1.84,0.90,2.1901,-5.3264,6.242e-02
1.86,0.90,2.1901,-5.3264,6.538e-02
1.88,0.90,2.1901,-5.3264,6.844e-02
1.90,0.90,2.1901,-5.3264,7.160e-02
1.92,0.90,2.1901,-5.3264,7.486e-02
1.94,0.90,2.1901,-5.3264,7.823e-02
1.96,0.90,2.1901,-5.3264,8.171e-02
1.98,0.90,2.1901,-5.3264,8.531e-02
2.00,0.90,2.1901,-5.3264,8.904e-02
2.02,0.90,2.1901,-5.3264,9.291e-02
2.04,0.90,2.1901,-5.3264,9.696e-02
0.92,0.92,-2.8730,-0.2231,2.150e-03
0.94,0.92,-4.6159,0.1571,2.222e-03
0.96,0.92,-7.3177,0.0319,2.340e-03
0.98,0.92,-7.3177,0.0319,2.504e-03
1.00,0.92,-7.3177,0.0319,2.714e-03
1.02,0.92,-7.3177,0.0319,2.968e-03
1.04,0.92,-7.3177,0.0319,3.267e-03
1.06,0.92,-7.3177,0.0319,3.609e-03
1.08,0.92,-7.3177,0.0319,3.996e-03
1.10,0.92,-7.3177,0.0319,4.426e-03
1.12,0.92,-7.3177,0.0319,4.900e-03
1.14,0.92,-7.3177,0.0319,5.419e-03
1.16,0.92,-7.3177,0.0319,5.982e-03
1.18,0.92,-7.3177,0.0319,6.591e-03
1.20,0.92,-7.3177,0.0319,7.245e-03
1.22,0.92,-7.3177,0.0319,7.945e-03
1.24,0.92,-7.3177,0.0319,8.692e-03
1.26,0.92,-7.3177,0.0319,9.486e-03
1.28,0.92,-7.3177,0.0319,1.033e-02
1.30,0.92,-7.3177,0.0319,1.122e-02
1.32,0.92,-4.8045,0.0820,1.216e-02
1.34,0.92,-3.8003,0.3703,1.316e-02
1.36,0.92,-2.6943,-0.6297,1.420e-02
1.38,0.92,0.5521,-4.0171,1.530e-02
1.40,0.92,2.1901,-5.3264,1.645e-02
1.42,0.92,2.1901,-5.3264,1.766e-02
1.44,0.92,2.1901,-5.3264,1.893e-02
1.46,0.92,2.1901,-5.3264,2.025e-02
1.48,0.92,2.1901,-5.3264,2.163e-02
1.50,0.92,2.1901,-5.3264,2.307e-02
1.52,0.92,2.1901,-5.3264,2.457e-02
1.54,0.92,2.1901,-5.3264,2.613e-02
1.56,0.92,2.1901,-5.3264,2.776e-02
1.58,0.92,2.1901,-5.3264,2.946e-02
1.60,0.92,2.1901,-5.3264,3.122e-02
1.62,0.92,2.1901,-5.3264,3.304e-02
1.64,0.92,2.1901,-5.3264,3.494e-02
1.66,0.92,2.1901,-5.3264,3.691e-02
1.68,0.92,2.1901,-5.3264,3.896e-02
1.70,0.92,2.1901,-5.3264,4.107e-02
1.72,0.92,2.1901,-5.3264,4.327e-02
1.74,0.92,2.1901,-5.3264,4.554e-02
1.76,0.92,2.1901,-5.3264,4.789e-02
1.78,0.92,2.1901,-5.3264,5.032e-02
1.80,0.92,2.1901,-5.3264,5.284e-02
1.82,0.92,2.1901,-5.3264,5.544e-02
1.84,0.92,2.1901,-5.3264,5.813e-02
1.86,0.92,2.1901,-5.3264,6.091e-02
1.88,0.92,2.1901,-5.3264,6.378e-02
1.90,0.92,2.1901,-5.3264,6.675e-02
1.92,0.92,2.1901,-5.3264,6.981e-02
1.94,0.92,2.1901,-5.3264,7.298e-02
1.96,0.92,2.1901,-5.3264,7.625e-02
1.98,0.92,2.1901,-5.3264,7.963e-02
2.00,0.92,2.1901,-5.3264,8.313e-02
2.02,0.92,2.1901,-5.3264,8.676e-02
2.04,0.92,2.1901,-5.3264,9.056e-02
0.94,0.94,-3.1153,0.4946,2.243e-03
0.96,0.94,-4.7423,0.1183,2.311e-03
0.98,0.94,-7.3177,0.0319,2.426e-03
1.00,0.94,-7.3177,0.0319,2.586e-03
1.02,0.94,-7.3177,0.0319,2.791e-03
1.04,0.94,-7.3177,0.0319,3.039e-03
1.06,0.94,-7.3177,0.0319,3.330e-03
1.08,0.94,-7.3177,0.0319,3.665e-03
1.10,0.94,-7.3177,0.0319,4.043e-03
1.12,0.94,-7.3177,0.0319,4.463e-03
1.14,0.94,-7.3177,0.0319,4.927e-03
1.16,0.94,-7.3177,0.0319,5.435e-03
1.18,0.94,-7.3177,0.0319,5.985e-03
1.20,0.94,-7.3177,0.0319,6.580e-03
1.22,0.94,-7.3177,0.0319,7.220e-03
1.24,0.94,-7.3177,0.0319,7.904e-03
1.26,0.94,-7.3177,0.0319,8.635e-03
1.28,0.94,-7.3177,0.0319,9.411e-03
1.30,0.94,-7.2818,0.0314,1.024e-02
1.32,0.94,-4.7624,0.1062,1.111e-02
1.34,0.94,-3.9940,0.2059,1.203e-02
1.36,0.94,-2.8665,-0.2408,1.300e-02
1.38,0.94,-0.3163,-2.7275,1.402e-02
1.40,0.94,2.1901,-5.3264,1.509e-02
1.42,0.94,2.1901,-5.3264,1.622e-02
1.44,0.94,2.1901,-5.3264,1.739e-02
1.46,0.94,2.1901,-5.3264,1.863e-02
1.48,0.94,2.1901,-5.3264,1.992e-02
1.50,0.94,2.1901,-5.3264,2.126e-02
1.52,0.94,2.1901,-5.3264,2.267e-02
1.54,0.94,2.1901,-5.3264,2.413e-02
1.56,0.94,2.1901,-5.3264,2.565e-02
1.58,0.94,2.1901,-5.3264,2.724e-02
1.60,0.94,2.1901,-5.3264,2.889e-02
