M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4772,-0.9557,8.873e-04
0.92,0.90,-4.6036,0.0457,9.033e-04
0.94,0.90,-7.3177,0.0319,9.240e-04
0.96,0.90,-7.3177,0.0319,9.496e-04
0.98,0.90,-7.3177,0.0319,9.803e-04
1.00,0.90,-7.3177,0.0319,1.017e-03
1.02,0.90,-7.3177,0.0319,1.059e-03
1.04,0.90,-7.3177,0.0319,1.108e-03
1.06,0.90,-7.3177,0.0319,1.164e-03
1.08,0.90,-7.3177,0.0319,1.229e-03
1.10,0.90,-7.3177,0.0319,1.303e-03
1.12,0.90,-7.3177,0.0319,1.388e-03
1.14,0.90,-7.3177,0.0319,1.485e-03
1.16,0.90,-7.3177,0.0319,1.597e-03
1.18,0.90,-7.3177,0.0319,1.725e-03
1.20,0.90,-7.3177,0.0319,1.872e-03
1.22,0.90,-7.3177,0.0319,2.041e-03
1.24,0.90,-7.3177,0.0319,2.237e-03
1.26,0.90,-7.3177,0.0319,2.465e-03
1.28,0.90,-7.3177,0.0319,2.729e-03
1.30,0.90,-7.3177,0.0319,3.038e-03
1.32,0.90,-5.2061,0.0577,3.400e-03
1.34,0.90,-4.3003,-0.0375,3.826e-03
1.36,0.90,-2.8076,-0.3808,4.329e-03
1.38,0.90,0.5043,-3.9635,4.927e-03
1.40,0.90,2.1901,-5.3264,5.641e-03
1.42,0.90,2.1901,-5.3264,6.498e-03
1.44,0.90,2.1901,-5.3264,7.530e-03
1.46,0.90,2.1901,-5.3264,8.782e-03
1.48,0.90,2.1901,-5.3264,1.031e-02
1.50,0.90,2.1901,-5.3264,1.218e-02
1.52,0.90,2.1901,-5.3264,1.449e-02
1.54,0.90,2.1901,-5.3264,1.735e-02
1.56,0.90,2.1901,-5.3264,2.093e-02
1.58,0.90,2.1901,-5.3264,2.543e-02
1.60,0.90,2.1901,-5.3264,3.113e-02
1.62,0.90,2.1901,-5.3264,3.839e-02
1.64,0.90,2.1901,-5.3264,4.771e-02
1.66,0.90,2.1901,-5.3264,5.977e-02
1.68,0.90,2.1901,-5.3264,7.548e-02
1.70,0.90,2.1901,-5.3264,9.611e-02
1.72,0.90,2.1901,-5.3264,1.234e-01
1.74,0.90,2.1901,-5.3264,1.598e-01
1.76,0.90,2.1901,-5.3264,2.088e-01
1.78,0.90,2.1901,-5.3264,2.753e-01
1.80,0.90,2.1901,-5.3264,3.663e-01
1.82,0.90,2.1901,-5.3264,4.919e-01
1.84,0.90,2.1901,-5.3264,6.670e-01
1.86,0.90,2.1901,-5.3264,9.132e-01
1.88,0.90,2.1901,-5.3264,1.263e+00
1.90,0.90,2.1901,-5.3264,1.764e+00
1.92,0.90,2.1901,-5.3264,2.490e+00
1.94,0.90,2.1901,-5.3264,3.552e+00
1.96,0.90,2.1901,-5.3264,5.122e+00
1.98,0.90,2.1901,-5.3264,7.468e+00
2.00,0.90,2.1901,-5.3264,1.101e+01
2.02,0.90,2.1901,-5.3264,1.642e+01
2.04,0.90,2.1901,-5.3264,2.477e+01
2.06,0.90,2.1901,-5.3264,3.782e+01
2.08,0.90,2.1901,-5.3264,5.844e+01
2.10,0.90,2.1901,-5.3264,9.143e+01
2.12,0.90,2.1901,-5.3264,1.449e+02
2.14,0.90,2.1901,-5.3264,2.324e+02
2.16,0.90,2.1901,-5.3264,3.779e+02
2.18,0.90,2.1901,-5.3264,6.226e+02
2.20,0.90,2.1901,-5.3264,1.040e+03
2.22,0.90,2.1901,-5.3264,1.760e+03
2.24,0.90,2.1901,-5.3264,3.023e+03
2.26,0.90,2.1901,-5.3264,5.267e+03
2.28,0.90,2.1901,-5.3264,9.312e+03
2.30,0.90,2.1901,-5.3264,1.671e+04
2.32,0.90,2.1901,-5.3264,3.046e+04
2.34,0.90,2.1901,-5.3264,5.640e+04
2.36,0.90,2.1901,-5.3264,1.062e+05
2.38,0.90,2.1901,-5.3264,2.033e+05
2.40,0.90,2.1901,-5.3264,3.967e+05
2.42,0.90,2.1901,-5.3264,7.918e+05
0.92,0.92,-2.9901,0.1104,9.152e-04
0.94,0.92,-4.6533,0.1635,9.317e-04
0.96,0.92,-7.3177,0.0319,9.529e-04
0.98,0.92,-7.3177,0.0319,9.789e-04
1.00,0.92,-7.3177,0.0319,1.010e-03
1.02,0.92,-7.3177,0.0319,1.047e-03
1.04,0.92,-7.3177,0.0319,1.090e-03
1.06,0.92,-7.3177,0.0319,1.140e-03
1.08,0.92,-7.3177,0.0319,1.197e-03
1.10,0.92,-7.3177,0.0319,1.263e-03
1.12,0.92,-7.3177,0.0319,1.338e-03
1.14,0.92,-7.3177,0.0319,1.423e-03
1.16,0.92,-7.3177,0.0319,1.521e-03
1.18,0.92,-7.3177,0.0319,1.633e-03
1.20,0.92,-7.3177,0.0319,1.762e-03
1.22,0.92,-7.3177,0.0319,1.909e-03
1.24,0.92,-7.3177,0.0319,2.079e-03
1.26,0.92,-7.3177,0.0319,2.274e-03
1.28,0.92,-7.3177,0.0319,2.501e-03
1.30,0.92,-7.3177,0.0319,2.763e-03
1.32,0.92,-5.2813,0.0661,3.069e-03
1.34,0.92,-4.5110,-0.1214,3.426e-03
1.36,0.92,-2.9964,0.1304,3.846e-03
1.38,0.92,-0.6040,-2.4092,4.340e-03
1.40,0.92,2.1901,-5.3264,4.926e-03
1.42,0.92,2.1901,-5.3264,5.622e-03
1.44,0.92,2.1901,-5.3264,6.454e-03
1.46,0.92,2.1901,-5.3264,7.453e-03
1.48,0.92,2.1901,-5.3264,8.660e-03
1.50,0.92,2.1901,-5.3264,1.012e-02
1.52,0.92,2.1901,-5.3264,1.191e-02
1.54,0.92,2.1901,-5.3264,1.411e-02
1.56,0.92,2.1901,-5.3264,1.682e-02
1.58,0.92,2.1901,-5.3264,2.019e-02
1.60,0.92,2.1901,-5.3264,2.440e-02
1.62,0.92,2.1901,-5.3264,2.971e-02
1.64,0.92,2.1901,-5.3264,3.643e-02
1.66,0.92,2.1901,-5.3264,4.500e-02
1.68,0.92,2.1901,-5.3264,5.602e-02
1.70,0.92,2.1901,-5.3264,7.027e-02
1.72,0.92,2.1901,-5.3264,8.885e-02
1.74,0.92,2.1901,-5.3264,1.133e-01
1.76,0.92,2.1901,-5.3264,1.456e-01
1.78,0.92,2.1901,-5.3264,1.887e-01
1.80,0.92,2.1901,-5.3264,2.467e-01
1.82,0.92,2.1901,-5.3264,3.253e-01
1.84,0.92,2.1901,-5.3264,4.330e-01
1.86,0.92,2.1901,-5.3264,5.815e-01
1.88,0.92,2.1901,-5.3264,7.884e-01
1.90,0.92,2.1901,-5.3264,1.079e+00
1.92,0.92,2.1901,-5.3264,1.491e+00
1.94,0.92,2.1901,-5.3264,2.082e+00
1.96,0.92,2.1901,-5.3264,2.935e+00
1.98,0.92,2.1901,-5.3264,4.182e+00
2.00,0.92,2.1901,-5.3264,6.021e+00
2.02,0.92,2.1901,-5.3264,8.763e+00
2.04,0.92,2.1901,-5.3264,1.289e+01
2.06,0.92,2.1901,-5.3264,1.918e+01
2.08,0.92,2.1901,-5.3264,2.887e+01
2.10,0.92,2.1901,-5.3264,4.394e+01
2.12,0.92,2.1901,-5.3264,6.769e+01
2.14,0.92,2.1901,-5.3264,1.055e+02
2.16,0.92,2.1901,-5.3264,1.666e+02
2.18,0.92,2.1901,-5.3264,2.662e+02
2.20,0.92,2.1901,-5.3264,4.309e+02
2.22,0.92,2.1901,-5.3264,7.065e+02
2.24,0.92,2.1901,-5.3264,1.174e+03
2.26,0.92,2.1901,-5.3264,1.977e+03
2.28,0.92,2.1901,-5.3264,3.377e+03
2.30,0.92,2.1901,-5.3264,5.849e+03
2.32,0.92,2.1901,-5.3264,1.028e+04
2.34,0.92,2.1901,-5.3264,1.834e+04
2.36,0.92,2.1901,-5.3264,3.322e+04
2.38,0.92,2.1901,-5.3264,6.116e+04
2.40,0.92,2.1901,-5.3264,1.146e+05
2.42,0.92,2.1901,-5.3264,2.196e+05
0.94,0.94,-3.1859,0.5947,9.439e-04
0.96,0.94,-4.7798,0.0957,9.609e-04
0.98,0.94,-7.3177,0.0319,9.825e-04
1.00,0.94,-7.3177,0.0319,1.009e-03
1.02,0.94,-7.3177,0.0319,1.041e-03
1.04,0.94,-7.3177,0.0319,1.079e-03
1.06,0.94,-7.3177,0.0319,1.122e-03
1.08,0.94,-7.3177,0.0319,1.173e-03
1.10,0.94,-7.3177,0.0319,1.231e-03
1.12,0.94,-7.3177,0.0319,1.297e-03
1.14,0.94,-7.3177,0.0319,1.373e-03
1.16,0.94,-7.3177,0.0319,1.460e-03
1.18,0.94,-7.3177,0.0319,1.558e-03
1.20,0.94,-7.3177,0.0319,1.671e-03
1.22,0.94,-7.3177,0.0319,1.800e-03
1.24,0.94,-7.3177,0.0319,1.948e-03
1.26,0.94,-7.3177,0.0319,2.118e-03
1.28,0.94,-7.3177,0.0319,2.313e-03
1.30,0.94,-7.3177,0.0319,2.539e-03
1.32,0.94,-5.3325,0.0683,2.800e-03
1.34,0.94,-4.5836,-0.0586,3.103e-03
1.36,0.94,-3.1096,0.4842,3.457e-03
1.38,0.94,-1.8040,-1.3638,3.871e-03
1.40,0.94,1.8776,-4.9785,4.357e-03
1.42,0.94,2.1901,-5.3264,4.932e-03
1.44,0.94,2.1901,-5.3264,5.612e-03
1.46,0.94,2.1901,-5.3264,6.423e-03
1.48,0.94,2.1901,-5.3264,7.393e-03
1.50,0.94,2.1901,-5.3264,8.560e-03
1.52,0.94,2.1901,-5.3264,9.971e-03
1.54,0.94,2.1901,-5.3264,1.169e-02
1.56,0.94,2.1901,-5.3264,1.378e-02
1.58,0.94,2.1901,-5.3264,1.636e-02
1.60,0.94,2.1901,-5.3264,1.954e-02
1.62,0.94,2.1901,-5.3264,2.351e-02
1.64,0.94,2.1901,-5.3264,2.847e-02
1.66,0.94,2.1901,-5.3264,3.472e-02
1.68,0.94,2.1901,-5.3264,4.266e-02
1.70,0.94,2.1901,-5.3264,5.278e-02
1.72,0.94,2.1901,-5.3264,6.579e-02
1.74,0.94,2.1901,-5.3264,8.264e-02
1.76,0.94,2.1901,-5.3264,1.046e-01
1.78,0.94,2.1901,-5.3264,1.335e-01
1.80,0.94,2.1901,-5.3264,1.718e-01
1.82,0.94,2.1901,-5.3264,2.228e-01
1.84,0.94,2.1901,-5.3264,2.915e-01
1.86,0.94,2.1901,-5.3264,3.846e-01
1.88,0.94,2.1901,-5.3264,5.120e-01
1.90,0.94,2.1901,-5.3264,6.877e-01
1.92,0.94,2.1901,-5.3264,9.322e-01
1.94,0.94,2.1901,-5.3264,1.276e+00
1.96,0.94,2.1901,-5.3264,1.762e+00
1.98,0.94,2.1901,-5.3264,2.458e+00
2.00,0.94,2.1901,-5.3264,3.462e+00
2.02,0.94,2.1901,-5.3264,4.927e+00
2.04,0.94,2.1901,-5.3264,7.084e+00
2.06,0.94,2.1901,-5.3264,1.029e+01
2.08,0.94,2.1901,-5.3264,1.511e+01
2.10,0.94,2.1901,-5.3264,2.244e+01
2.12,0.94,2.1901,-5.3264,3.368e+01
2.14,0.94,2.1901,-5.3264,5.114e+01
2.16,0.94,2.1901,-5.3264,7.855e+01
2.18,0.94,2.1901,-5.3264,1.221e+02
2.20,0.94,2.1901,-5.3264,1.920e+02
2.22,0.94,2.1901,-5.3264,3.057e+02
2.24,0.94,2.1901,-5.3264,4.928e+02
2.26,0.94,2.1901,-5.3264,8.047e+02
2.28,0.94,2.1901,-5.3264,1.331e+03
2.30,0.94,2.1901,-5.3264,2.231e+03
2.32,0.94,2.1901,-5.3264,3.792e+03
2.34,0.94,2.1901,-5.3264,6.536e+03
2.36,0.94,2.1901,-5.3264,1.143e+04
2.38,0.94,2.1901,-5.3264,2.030e+04
2.40,0.94,2.1901,-5.3264,3.667e+04
2.42,0.94,2.1901,-5.3264,6.763e+04
0.96,0.96,-3.5506,0.5526,9.735e-04
0.98,0.96,-4.8448,0.0608,9.909e-04
1.00,0.96,-7.3177,0.0319,1.013e-03
1.02,0.96,-7.3177,0.0319,1.040e-03
1.04,0.96,-7.3177,0.0319,1.073e-03
1.06,0.96,-7.3177,0.0319,1.111e-03
1.08,0.96,-7.3177,0.0319,1.156e-03
1.10,0.96,-7.3177,0.0319,1.207e-03
1.12,0.96,-7.3177,0.0319,1.266e-03
1.14,0.96,-7.3177,0.0319,1.333e-03
1.16,0.96,-7.3177,0.0319,1.410e-03
1.18,0.96,-7.3177,0.0319,1.497e-03
1.20,0.96,-7.3177,0.0319,1.597e-03
1.22,0.96,-7.3177,0.0319,1.711e-03
1.24,0.96,-7.3177,0.0319,1.840e-03
1.26,0.96,-7.3177,0.0319,1.989e-03
1.28,0.96,-7.3177,0.0319,2.159e-03
1.30,0.96,-7.3177,0.0319,2.354e-03
1.32,0.96,-5.3517,0.0668,2.580e-03
1.34,0.96,-4.6026,0.0284,2.840e-03
1.36,0.96,-3.2975,0.6374,3.141e-03
1.38,0.96,-2.5956,-0.8015,3.492e-03
1.40,0.96,0.1962,-3.4638,3.901e-03
1.42,0.96,2.1901,-5.3264,4.380e-03
1.44,0.96,2.1901,-5.3264,4.945e-03
1.46,0.96,2.1901,-5.3264,5.611e-03
1.48,0.96,2.1901,-5.3264,6.403e-03
1.50,0.96,2.1901,-5.3264,7.347e-03
1.52,0.96,2.1901,-5.3264,8.479e-03
1.54,0.96,2.1901,-5.3264,9.841e-03
1.56,0.96,2.1901,-5.3264,1.149e-02
1.58,0.96,2.1901,-5.3264,1.350e-02
1.60,0.96,2.1901,-5.3264,1.596e-02
1.62,0.96,2.1901,-5.3264,1.898e-02
1.64,0.96,2.1901,-5.3264,2.273e-02
1.66,0.96,2.1901,-5.3264,2.739e-02
1.68,0.96,2.1901,-5.3264,3.324e-02
1.70,0.96,2.1901,-5.3264,4.061e-02
1.72,0.96,2.1839,-2.0698,5.164e-02
1.74,0.96,2.1703,-1.5712,6.924e-02
1.76,0.96,2.1676,-1.5161,8.794e-02
1.78,0.96,2.1699,-1.5629,1.090e-01
1.80,0.96,2.1749,-1.6818,1.341e-01
1.82,0.96,2.1808,-1.8937,1.656e-01
1.84,0.96,2.1868,-2.3328,2.064e-01
1.86,0.96,2.1901,-5.3264,2.632e-01
1.88,0.96,2.1901,-5.3264,3.445e-01
1.90,0.96,2.1901,-5.3264,4.548e-01
1.92,0.96,2.1901,-5.3264,6.056e-01
1.94,0.96,2.1901,-5.3264,8.136e-01
1.96,0.96,2.1901,-5.3264,1.103e+00
1.98,0.96,2.1901,-5.3264,1.508e+00
2.00,0.96,2.1901,-5.3264,2.083e+00
2.02,0.96,2.1901,-5.3264,2.903e+00
2.04,0.96,2.1901,-5.3264,4.086e+00
2.06,0.96,2.1901,-5.3264,5.809e+00
2.08,0.96,2.1901,-5.3264,8.340e+00
2.10,0.96,2.1901,-5.3264,1.210e+01
2.12,0.96,2.1901,-5.3264,1.774e+01
2.14,0.96,2.1901,-5.3264,2.628e+01
2.16,0.96,2.1901,-5.3264,3.937e+01
2.18,0.96,2.1901,-5.3264,5.962e+01
2.20,0.96,2.1901,-5.3264,9.133e+01
2.22,0.96,2.1901,-5.3264,1.415e+02
2.24,0.96,2.1901,-5.3264,2.219e+02
2.26,0.96,2.1901,-5.3264,3.521e+02
2.28,0.96,2.1901,-5.3264,5.656e+02
2.30,0.96,2.1901,-5.3264,9.201e+02
2.32,0.96,2.1901,-5.3264,1.516e+03
2.34,0.96,2.1901,-5.3264,2.532e+03
2.36,0.96,2.1901,-5.3264,4.287e+03
2.38,0.96,2.1901,-5.3264,7.366e+03
2.40,0.96,2.1901,-5.3264,1.286e+04
2.42,0.96,2.1901,-5.3264,2.290e+04
0.98,0.98,-3.9345,0.2565,1.004e-03
1.00,0.98,-4.8390,0.0638,1.022e-03
1.02,0.98,-7.3177,0.0319,1.045e-03
1.04,0.98,-7.3177,0.0319,1.072e-03
1.06,0.98,-7.3177,0.0319,1.106e-03
1.08,0.98,-7.3177,0.0319,1.145e-03
1.10,0.98,-7.3177,0.0319,1.190e-03
1.12,0.98,-7.3177,0.0319,1.242e-03
1.14,0.98,-7.3177,0.0319,1.302e-03
1.16,0.98,-7.3177,0.0319,1.370e-03
1.18,0.98,-7.3177,0.0319,1.448e-03
1.20,0.98,-7.3177,0.0319,1.536e-03
1.22,0.98,-7.3177,0.0319,1.637e-03
1.24,0.98,-7.3177,0.0319,1.751e-03
1.26,0.98,-7.3177,0.0319,1.882e-03
1.28,0.98,-7.3177,0.0319,2.031e-03
1.30,0.98,-7.3177,0.0319,2.202e-03
1.32,0.98,-5.3217,0.0691,2.398e-03
1.34,0.98,-4.6048,0.0987,2.623e-03
1.36,0.98,-3.6233,0.5054,2.882e-03
1.38,0.98,-2.8772,-0.2119,3.182e-03
1.40,0.98,-0.7697,-2.1565,3.530e-03
1.42,0.98,2.1901,-5.3264,3.935e-03
1.44,0.98,2.1901,-5.3264,4.409e-03
1.46,0.98,2.1901,-5.3264,4.964e-03
1.48,0.98,2.1901,-5.3264,5.619e-03
1.50,0.98,2.1901,-5.3264,6.394e-03
1.52,0.98,2.1901,-5.3264,7.315e-03
1.54,0.98,2.1901,-5.3264,8.415e-03
1.56,0.98,2.1901,-5.3264,9.735e-03
1.58,0.98,2.1901,-5.3264,1.133e-02
1.60,0.98,2.1901,-5.3264,1.326e-02
1.62,0.98,2.1901,-5.3264,1.561e-02
1.64,0.98,2.1268,-1.0878,2.881e-02
1.66,0.98,2.0997,-0.9466,4.687e-02
1.68,0.98,2.0923,-0.9159,6.283e-02
1.70,0.98,2.0912,-0.9117,7.718e-02
1.72,0.98,2.0935,-0.9208,9.045e-02
1.74,0.98,2.0982,-0.9400,1.033e-01
1.76,0.98,2.1048,-0.9691,1.164e-01
1.78,0.98,2.1131,-1.0095,1.306e-01
1.80,0.98,2.1228,-1.0636,1.471e-01
1.82,0.98,2.1337,-1.1346,1.674e-01
1.84,0.98,2.1451,-1.2272,1.932e-01
1.86,0.98,2.1564,-1.3475,2.274e-01
1.88,0.98,2.1670,-1.5053,2.733e-01
1.90,0.98,2.1761,-1.7190,3.359e-01
1.92,0.98,2.1835,-2.0387,4.221e-01
1.94,0.98,2.1889,-2.7773,5.414e-01
1.96,0.98,2.1901,-5.3264,7.167e-01
1.98,0.98,2.1901,-5.3264,9.628e-01
2.00,0.98,2.1901,-5.3264,1.305e+00
2.02,0.98,2.1901,-5.3264,1.785e+00
2.04,0.98,2.1901,-5.3264,2.463e+00
2.06,0.98,2.1901,-5.3264,3.432e+00
2.08,0.98,2.1901,-5.3264,4.826e+00
2.10,0.98,2.1901,-5.3264,6.854e+00
2.12,0.98,2.1901,-5.3264,9.830e+00
2.14,0.98,2.1901,-5.3264,1.424e+01
2.16,0.98,2.1901,-5.3264,2.084e+01
2.18,0.98,2.1901,-5.3264,3.083e+01
2.20,0.98,2.1901,-5.3264,4.608e+01
2.22,0.98,2.1901,-5.3264,6.964e+01
2.24,0.98,2.1901,-5.3264,1.064e+02
2.26,0.98,2.1901,-5.3264,1.645e+02
2.28,0.98,2.1901,-5.3264,2.572e+02
2.30,0.98,2.1901,-5.3264,4.069e+02
2.32,0.98,2.1901,-5.3264,6.518e+02
2.34,0.98,2.1901,-5.3264,1.057e+03
2.36,0.98,2.1901,-5.3264,1.737e+03
2.38,0.98,2.1901,-5.3264,2.895e+03
2.40,0.98,2.1901,-5.3264,4.897e+03
2.42,0.98,2.1901,-5.3264,8.447e+03
1.00,1.00,-4.1568,0.0709,1.035e-03
1.02,1.00,-4.7836,0.0934,1.054e-03
1.04,1.00,-6.6426,0.0245,1.077e-03
1.06,1.00,-7.3177,0.0319,1.105e-03
1.08,1.00,-7.3177,0.0319,1.139e-03
1.10,1.00,-7.3177,0.0319,1.179e-03
1.12,1.00,-7.3177,0.0319,1.225e-03
1.14,1.00,-7.3177,0.0319,1.278e-03
1.16,1.00,-7.3177,0.0319,1.339e-03
1.18,1.00,-7.3177,0.0319,1.408e-03
1.20,1.00,-7.3177,0.0319,1.487e-03
1.22,1.00,-7.3177,0.0319,1.576e-03
1.24,1.00,-7.3177,0.0319,1.678e-03
1.26,1.00,-7.3177,0.0319,1.794e-03
1.28,1.00,-7.3177,0.0319,1.925e-03
1.30,1.00,-7.3177,0.0319,2.076e-03
1.32,1.00,-5.2715,0.0650,2.247e-03
1.34,1.00,-4.6075,0.1428,2.443e-03
1.36,1.00,-4.0003,0.2006,2.668e-03
1.38,1.00,-3.0177,0.1986,2.927e-03
1.40,1.00,-1.9122,-1.3200,3.226e-03
1.42,1.00,0.7168,-4.1788,3.572e-03
1.44,1.00,2.1901,-5.3264,3.974e-03
1.46,1.00,2.1901,-5.3264,4.442e-03
1.48,1.00,2.1901,-5.3264,4.990e-03
1.50,1.00,2.1901,-5.3264,5.635e-03
1.52,1.00,2.1901,-5.3264,6.395e-03
1.54,1.00,2.1901,-5.3264,7.295e-03
