M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8008,-0.9217,2.131e-01
0.92,0.90,1.8645,-0.4134,2.131e-01
0.94,0.90,1.8859,-0.3561,2.132e-01
0.96,0.90,1.8765,-0.3430,2.134e-01
0.98,0.90,1.8649,-0.3276,2.136e-01
1.00,0.90,1.8513,-0.3106,2.139e-01
1.02,0.90,1.8358,-0.2927,2.142e-01
1.04,0.90,1.8187,-0.2745,2.146e-01
1.06,0.90,1.8001,-0.2563,2.149e-01
1.08,0.90,1.7804,-0.2385,2.154e-01
1.10,0.90,1.7597,-0.2213,2.159e-01
1.12,0.90,1.7380,-0.2049,2.164e-01
1.14,0.90,1.7157,-0.1894,2.170e-01
1.16,0.90,1.6928,-0.1749,2.176e-01
1.18,0.90,1.6695,-0.1612,2.183e-01
1.20,0.90,1.6458,-0.1485,2.190e-01
1.22,0.90,1.6219,-0.1367,2.197e-01
1.24,0.90,1.5979,-0.1257,2.206e-01
1.26,0.90,1.5737,-0.1156,2.214e-01
1.28,0.90,1.5495,-0.1062,2.223e-01
1.30,0.90,1.5253,-0.0975,2.233e-01
1.32,0.90,1.4905,-0.0648,2.243e-01
1.34,0.90,1.6945,0.2694,2.254e-01
1.36,0.90,1.1875,-1.0067,2.265e-01
1.38,0.90,2.0258,-0.7781,2.276e-01
1.40,0.90,2.0444,-0.7656,2.289e-01
1.42,0.90,2.0451,-0.7674,2.301e-01
1.44,0.90,2.0458,-0.7691,2.314e-01
1.46,0.90,2.0465,-0.7710,2.327e-01
1.48,0.90,2.0473,-0.7730,2.340e-01
1.50,0.90,2.0481,-0.7750,2.354e-01
1.52,0.90,2.0489,-0.7771,2.368e-01
1.54,0.90,2.0497,-0.7794,2.381e-01
1.56,0.90,2.0506,-0.7817,2.394e-01
1.58,0.90,2.0515,-0.7841,2.407e-01
1.60,0.90,2.0525,-0.7866,2.419e-01
1.62,0.90,2.0535,-0.7893,2.430e-01
1.64,0.90,2.0545,-0.7921,2.441e-01
1.66,0.90,2.0556,-0.7951,2.449e-01
1.68,0.90,2.0567,-0.7982,2.457e-01
1.70,0.90,2.0579,-0.8016,2.462e-01
1.72,0.90,2.0592,-0.8051,2.466e-01
1.74,0.90,2.0605,-0.8089,2.468e-01
1.76,0.90,2.0619,-0.8130,2.467e-01
1.78,0.90,2.1095,-0.7882,1.952e-01
1.80,0.90,2.1745,-0.7520,1.521e-01
1.82,0.90,2.2035,-0.7642,1.270e-01
1.84,0.90,2.2070,-0.8119,1.121e-01
1.86,0.90,2.1950,-0.8828,1.030e-01
1.88,0.90,2.1747,-0.9675,9.776e-02
1.90,0.90,2.1506,-1.0597,9.493e-02
1.92,0.90,2.1253,-1.1550,9.378e-02
1.94,0.90,2.1004,-1.2506,9.385e-02
1.96,0.90,2.0768,-1.3443,9.480e-02
1.98,0.90,2.0553,-1.4345,9.643e-02
2.00,0.90,2.0365,-1.5201,9.861e-02
2.02,0.90,2.0210,-1.6004,1.012e-01
2.04,0.90,2.0092,-1.6755,1.043e-01
0.92,0.92,1.8320,-0.4728,2.132e-01
0.94,0.92,1.8948,-0.2790,2.132e-01
0.96,0.92,1.8809,-0.3490,2.133e-01
0.98,0.92,1.8719,-0.3367,2.135e-01
1.00,0.92,1.8607,-0.3222,2.137e-01
1.02,0.92,1.8475,-0.3061,2.140e-01
1.04,0.92,1.8325,-0.2891,2.143e-01
1.06,0.92,1.8159,-0.2716,2.146e-01
1.08,0.92,1.7979,-0.2541,2.150e-01
1.10,0.92,1.7787,-0.2370,2.154e-01
1.12,0.92,1.7584,-0.2203,2.159e-01
1.14,0.92,1.7373,-0.2044,2.164e-01
1.16,0.92,1.7155,-0.1893,2.170e-01
1.18,0.92,1.6932,-0.1751,2.176e-01
1.20,0.92,1.6703,-0.1617,2.182e-01
1.22,0.92,1.6471,-0.1492,2.189e-01
1.24,0.92,1.6237,-0.1375,2.197e-01
1.26,0.92,1.6001,-0.1267,2.205e-01
1.28,0.92,1.5763,-0.1166,2.213e-01
1.30,0.92,1.5525,-0.1073,2.222e-01
1.32,0.92,1.5305,-0.0525,2.231e-01
1.34,0.92,1.6805,0.1422,2.241e-01
1.36,0.92,1.2731,-0.6471,2.251e-01
1.38,0.92,1.8058,-0.9798,2.262e-01
1.40,0.92,2.0436,-0.7637,2.273e-01
1.42,0.92,2.0443,-0.7653,2.284e-01
1.44,0.92,2.0449,-0.7670,2.296e-01
1.46,0.92,2.0456,-0.7687,2.307e-01
1.48,0.92,2.0464,-0.7706,2.319e-01
1.50,0.92,2.0471,-0.7725,2.330e-01
1.52,0.92,2.0479,-0.7745,2.341e-01
1.54,0.92,2.0487,-0.7767,2.352e-01
1.56,0.92,2.0496,-0.7789,2.362e-01
1.58,0.92,2.0505,-0.7812,2.371e-01
1.60,0.92,2.0514,-0.7837,2.379e-01
1.62,0.92,2.0524,-0.7863,2.385e-01
1.64,0.92,2.0534,-0.7891,2.390e-01
1.66,0.92,2.0545,-0.7920,2.393e-01
1.68,0.92,2.0556,-0.7952,2.394e-01
1.70,0.92,2.0568,-0.7985,2.393e-01
1.72,0.92,2.0581,-0.8021,2.389e-01
1.74,0.92,2.1003,-0.7778,1.909e-01
1.76,0.92,2.1714,-0.7294,1.449e-01
1.78,0.92,2.2041,-0.7325,1.184e-01
1.80,0.92,2.2085,-0.7745,1.026e-01
1.82,0.92,2.1951,-0.8428,9.296e-02
1.84,0.92,2.1719,-0.9272,8.720e-02
1.86,0.92,2.1442,-1.0206,8.396e-02
1.88,0.92,2.1150,-1.1179,8.242e-02
1.90,0.92,2.0862,-1.2159,8.210e-02
1.92,0.92,2.0591,-1.3120,8.265e-02
1.94,0.92,2.0346,-1.4043,8.388e-02
1.96,0.92,2.0134,-1.4916,8.562e-02
1.98,0.92,1.9959,-1.5729,8.779e-02
2.00,0.92,1.9825,-1.6480,9.030e-02
2.02,0.92,1.9733,-1.7170,9.313e-02
2.04,0.92,1.9685,-1.7805,9.625e-02
0.94,0.94,1.9305,-0.0933,2.132e-01
0.96,0.94,1.8889,-0.2981,2.133e-01
0.98,0.94,1.8761,-0.3424,2.134e-01
1.00,0.94,1.8675,-0.3309,2.136e-01
1.02,0.94,1.8566,-0.3171,2.138e-01
1.04,0.94,1.8439,-0.3019,2.140e-01
1.06,0.94,1.8293,-0.2857,2.143e-01
1.08,0.94,1.8132,-0.2689,2.147e-01
1.10,0.94,1.7957,-0.2521,2.150e-01
1.12,0.94,1.7770,-0.2356,2.155e-01
1.14,0.94,1.7573,-0.2195,2.159e-01
1.16,0.94,1.7367,-0.2040,2.164e-01
1.18,0.94,1.7154,-0.1892,2.170e-01
1.20,0.94,1.6935,-0.1753,2.176e-01
1.22,0.94,1.6712,-0.1622,2.182e-01
1.24,0.94,1.6484,-0.1499,2.189e-01
1.26,0.94,1.6254,-0.1384,2.196e-01
1.28,0.94,1.6022,-0.1277,2.204e-01
1.30,0.94,1.5779,-0.1177,2.212e-01
1.32,0.94,1.5661,-0.0437,2.221e-01
1.34,0.94,1.6453,0.0105,2.229e-01
1.36,0.94,1.3685,-0.3102,2.239e-01
1.38,0.94,1.4823,-1.2867,2.248e-01
1.40,0.94,2.0429,-0.7619,2.258e-01
1.42,0.94,2.0435,-0.7634,2.268e-01
1.44,0.94,2.0441,-0.7650,2.278e-01
1.46,0.94,2.0448,-0.7666,2.287e-01
1.48,0.94,2.0455,-0.7684,2.297e-01
1.50,0.94,2.0462,-0.7702,2.306e-01
1.52,0.94,2.0470,-0.7722,2.314e-01
1.54,0.94,2.0478,-0.7742,2.321e-01
1.56,0.94,2.0486,-0.7764,2.327e-01
1.58,0.94,2.0495,-0.7786,2.332e-01
1.60,0.94,2.0504,-0.7811,2.334e-01
1.62,0.94,2.0514,-0.7836,2.335e-01
1.64,0.94,2.0524,-0.7864,2.334e-01
1.66,0.94,2.0535,-0.7893,2.330e-01
1.68,0.94,2.0547,-0.7925,2.324e-01
1.70,0.94,2.0823,-0.7784,1.936e-01
1.72,0.94,2.1633,-0.7132,1.422e-01
1.74,0.94,2.2029,-0.7028,1.130e-01
1.76,0.94,2.2104,-0.7359,9.563e-02
1.78,0.94,2.1969,-0.7994,8.505e-02
1.80,0.94,2.1713,-0.8823,7.860e-02
1.82,0.94,2.1399,-0.9763,7.482e-02
1.84,0.94,2.1065,-1.0756,7.283e-02
1.86,0.94,2.0735,-1.1762,7.208e-02
1.88,0.94,2.0425,-1.2752,7.224e-02
1.90,0.94,2.0145,-1.3702,7.307e-02
1.92,0.94,1.9903,-1.4597,7.442e-02
1.94,0.94,1.9705,-1.5428,7.618e-02
1.96,0.94,1.9555,-1.6190,7.827e-02
1.98,0.94,1.9452,-1.6885,8.065e-02
2.00,0.94,1.9395,-1.7514,8.328e-02
2.02,0.94,1.9381,-1.8079,8.613e-02
2.04,0.94,1.9406,-1.8577,8.922e-02
0.96,0.96,1.9611,-0.1145,2.133e-01
0.98,0.96,1.8754,-0.3163,2.134e-01
1.00,0.96,1.8717,-0.3364,2.135e-01
1.02,0.96,1.8633,-0.3255,2.137e-01
1.04,0.96,1.8529,-0.3125,2.139e-01
1.06,0.96,1.8405,-0.2980,2.141e-01
1.08,0.96,1.8264,-0.2825,2.144e-01
1.10,0.96,1.8107,-0.2665,2.147e-01
1.12,0.96,1.7937,-0.2503,2.151e-01
1.14,0.96,1.7755,-0.2343,2.155e-01
1.16,0.96,1.7563,-0.2187,2.160e-01
1.18,0.96,1.7362,-0.2036,2.164e-01
1.20,0.96,1.7154,-0.1892,2.170e-01
1.22,0.96,1.6939,-0.1755,2.176e-01
1.24,0.96,1.6720,-0.1627,2.182e-01
1.26,0.96,1.6497,-0.1505,2.188e-01
1.28,0.96,1.6271,-0.1392,2.195e-01
1.30,0.96,1.5860,-0.1222,2.203e-01
1.32,0.96,1.5990,-0.0373,2.210e-01
1.34,0.96,1.6162,-0.0955,2.218e-01
1.36,0.96,1.4751,-0.0512,2.227e-01
1.38,0.96,1.3587,-1.2920,2.235e-01
1.40,0.96,2.0422,-0.7602,2.243e-01
1.42,0.96,2.0428,-0.7616,2.251e-01
1.44,0.96,2.0434,-0.7631,2.259e-01
1.46,0.96,2.0440,-0.7647,2.267e-01
1.48,0.96,2.0447,-0.7664,2.273e-01
1.50,0.96,2.0454,-0.7681,2.279e-01
1.52,0.96,2.0461,-0.7700,2.284e-01
1.54,0.96,2.0469,-0.7720,2.287e-01
1.56,0.96,2.0477,-0.7741,2.288e-01
1.58,0.96,2.0486,-0.7763,2.287e-01
1.60,0.96,2.0495,-0.7787,2.284e-01
1.62,0.96,2.0505,-0.7813,2.279e-01
1.64,0.96,2.0515,-0.7841,2.270e-01
1.66,0.96,2.0546,-0.7922,2.051e-01
1.68,0.96,2.1482,-0.7066,1.446e-01
1.70,0.96,2.1985,-0.6779,1.110e-01
1.72,0.96,2.2124,-0.6980,9.123e-02
1.74,0.96,2.2006,-0.7539,7.921e-02
1.76,0.96,2.1736,-0.8334,7.182e-02
1.78,0.96,2.1387,-0.9270,6.735e-02
1.80,0.96,2.1009,-1.0279,6.481e-02
1.82,0.96,2.0632,-1.1312,6.360e-02
1.84,0.96,2.0276,-1.2333,6.335e-02
1.86,0.96,1.9955,-1.3315,6.379e-02
1.88,0.96,1.9679,-1.4238,6.476e-02
1.90,0.96,1.9454,-1.5093,6.614e-02
1.92,0.96,1.9282,-1.5874,6.786e-02
1.94,0.96,1.9165,-1.6581,6.986e-02
1.96,0.96,1.9099,-1.7217,7.208e-02
1.98,0.96,1.9081,-1.7780,7.452e-02
2.00,0.96,1.9103,-1.8266,7.714e-02
2.02,0.96,1.9162,-1.8658,7.994e-02
2.04,0.96,1.9252,-1.8941,8.292e-02
0.98,0.98,1.9348,-0.2634,2.134e-01
1.00,0.98,1.8704,-0.3114,2.135e-01
1.02,0.98,1.8675,-0.3309,2.136e-01
1.04,0.98,1.8594,-0.3206,2.137e-01
1.06,0.98,1.8493,-0.3083,2.139e-01
1.08,0.98,1.8374,-0.2945,2.142e-01
1.10,0.98,1.8237,-0.2796,2.144e-01
1.12,0.98,1.8085,-0.2642,2.148e-01
1.14,0.98,1.7919,-0.2486,2.151e-01
1.16,0.98,1.7742,-0.2331,2.155e-01
1.18,0.98,1.7554,-0.2180,2.160e-01
1.20,0.98,1.7357,-0.2033,2.165e-01
1.22,0.98,1.7154,-0.1892,2.170e-01
1.24,0.98,1.6944,-0.1758,2.175e-01
1.26,0.98,1.6729,-0.1631,2.181e-01
1.28,0.98,1.6510,-0.1512,2.188e-01
1.30,0.98,1.6040,-0.1289,2.194e-01
1.32,0.98,1.6305,-0.0318,2.201e-01
1.34,0.98,1.5973,-0.1756,2.208e-01
1.36,0.98,1.5863,0.1312,2.215e-01
1.38,0.98,1.2885,-1.1339,2.222e-01
1.40,0.98,1.9183,-0.8679,2.228e-01
1.42,0.98,2.0421,-0.7600,2.234e-01
1.44,0.98,2.0427,-0.7615,2.240e-01
1.46,0.98,2.0433,-0.7630,2.245e-01
1.48,0.98,2.0440,-0.7646,2.248e-01
1.50,0.98,2.0446,-0.7663,2.250e-01
1.52,0.98,2.0454,-0.7681,2.250e-01
1.54,0.98,2.0461,-0.7700,2.248e-01
1.56,0.98,2.0469,-0.7721,2.244e-01
1.58,0.98,2.0478,-0.7743,2.237e-01
1.60,0.98,2.0487,-0.7767,2.227e-01
1.62,0.98,2.0497,-0.7793,2.214e-01
1.64,0.98,2.1235,-0.7139,1.534e-01
1.66,0.98,2.1889,-0.6617,1.129e-01
1.68,0.98,2.2130,-0.6636,8.955e-02
1.70,0.98,2.2061,-0.7078,7.547e-02
1.72,0.98,2.1792,-0.7812,6.679e-02
1.74,0.98,2.1416,-0.8729,6.144e-02
1.76,0.98,2.0993,-0.9746,5.824e-02
1.78,0.98,2.0564,-1.0804,5.651e-02
1.80,0.98,2.0157,-1.1859,5.581e-02
1.82,0.98,1.9788,-1.2877,5.585e-02
1.84,0.98,1.9469,-1.3836,5.645e-02
1.86,0.98,1.9209,-1.4722,5.748e-02
1.88,0.98,1.9010,-1.5528,5.885e-02
1.90,0.98,1.8873,-1.6255,6.049e-02
1.92,0.98,1.8794,-1.6903,6.236e-02
1.94,0.98,1.8769,-1.7475,6.444e-02
1.96,0.98,1.8791,-1.7961,6.668e-02
1.98,0.98,1.8851,-1.8346,6.909e-02
2.00,0.98,1.8942,-1.8607,7.164e-02
2.02,0.98,1.9059,-1.8729,7.435e-02
2.04,0.98,1.9199,-1.8709,7.721e-02
1.00,1.00,1.8984,-0.3459,2.135e-01
1.02,1.00,1.8722,-0.2908,2.136e-01
1.04,1.00,1.8543,-0.3185,2.137e-01
1.06,1.00,1.8558,-0.3161,2.138e-01
1.08,1.00,1.8460,-0.3044,2.140e-01
1.10,1.00,1.8344,-0.2912,2.142e-01
1.12,1.00,1.8211,-0.2770,2.145e-01
1.14,1.00,1.8063,-0.2622,2.148e-01
1.16,1.00,1.7902,-0.2471,2.152e-01
1.18,1.00,1.7729,-0.2321,2.156e-01
1.20,1.00,1.7546,-0.2173,2.160e-01
1.22,1.00,1.7354,-0.2030,2.164e-01
1.24,1.00,1.7154,-0.1892,2.169e-01
1.26,1.00,1.6949,-0.1761,2.175e-01
1.28,1.00,1.6737,-0.1636,2.180e-01
1.30,1.00,1.6332,-0.1267,2.186e-01
1.32,1.00,1.6541,-0.0366,2.192e-01
1.34,1.00,1.5965,-0.2172,2.197e-01
1.36,1.00,1.6864,0.2464,2.203e-01
1.38,1.00,1.3344,-0.8715,2.208e-01
1.40,1.00,1.6006,-1.1751,2.212e-01
1.42,1.00,2.0415,-0.7586,2.216e-01
1.44,1.00,2.0421,-0.7599,2.219e-01
1.46,1.00,2.0427,-0.7614,2.220e-01
1.48,1.00,2.0433,-0.7629,2.219e-01
1.50,1.00,2.0440,-0.7646,2.216e-01
1.52,1.00,2.0447,-0.7663,2.211e-01
1.54,1.00,2.0454,-0.7682,2.203e-01
1.56,1.00,2.0462,-0.7703,2.192e-01
1.58,1.00,2.0471,-0.7725,2.178e-01
1.60,1.00,2.0856,-0.7400,1.712e-01
1.62,1.00,2.1706,-0.6590,1.198e-01
1.64,1.00,2.2100,-0.6369,9.107e-02
1.66,1.00,2.2121,-0.6640,7.402e-02
1.68,1.00,2.1882,-0.7274,6.356e-02
1.70,1.00,2.1491,-0.8147,5.705e-02
1.72,1.00,2.1027,-0.9158,5.305e-02
1.74,1.00,2.0545,-1.0236,5.071e-02
1.76,1.00,2.0079,-1.1325,4.951e-02
1.78,1.00,1.9654,-1.2384,4.913e-02
1.80,1.00,1.9284,-1.3384,4.936e-02
1.82,1.00,1.8979,-1.4308,5.003e-02
1.84,1.00,1.8745,-1.5148,5.107e-02
1.86,1.00,1.8580,-1.5901,5.238e-02
1.88,1.00,1.8483,-1.6571,5.393e-02
1.90,1.00,1.8446,-1.7157,5.567e-02
1.92,1.00,1.8463,-1.7653,5.759e-02
1.94,1.00,1.8524,-1.8042,5.965e-02
1.96,1.00,1.8620,-1.8300,6.186e-02
1.98,1.00,1.8743,-1.8410,6.420e-02
2.00,1.00,1.8888,-1.8365,6.666e-02
2.02,1.00,1.9048,-1.8176,6.925e-02
2.04,1.00,1.9223,-1.7875,7.197e-02
1.02,1.02,1.8783,-0.3752,2.136e-01
1.04,1.02,1.8770,-0.2569,2.136e-01
1.06,1.02,1.8463,-0.3027,2.137e-01
1.08,1.02,1.8524,-0.3119,2.139e-01
1.10,1.02,1.8429,-0.3008,2.141e-01
1.12,1.02,1.8317,-0.2882,2.143e-01
1.14,1.02,1.8188,-0.2746,2.145e-01
1.16,1.02,1.8044,-0.2603,2.148e-01
1.18,1.02,1.7887,-0.2457,2.152e-01
1.20,1.02,1.7718,-0.2312,2.156e-01
1.22,1.02,1.7539,-0.2168,2.160e-01
1.24,1.02,1.7351,-0.2028,2.164e-01
1.26,1.02,1.7155,-0.1893,2.168e-01
1.28,1.02,1.6869,-0.1757,2.173e-01
1.30,1.02,1.6580,-0.1278,2.178e-01
1.32,1.02,1.6766,-0.0413,2.182e-01
1.34,1.02,1.6014,-0.2502,2.186e-01
1.36,1.02,1.7616,0.2903,2.190e-01
1.38,1.02,1.4196,-0.5157,2.193e-01
1.40,1.02,1.4489,-1.2707,2.195e-01
1.42,1.02,2.0179,-0.7757,2.195e-01
1.44,1.02,2.0415,-0.7585,2.194e-01
1.46,1.02,2.0421,-0.7599,2.191e-01
1.48,1.02,2.0427,-0.7614,2.185e-01
1.50,1.02,2.0434,-0.7630,2.177e-01
1.52,1.02,2.0441,-0.7648,2.165e-01
1.54,1.02,2.0448,-0.7667,2.150e-01
1.56,1.02,2.0462,-0.7702,2.029e-01
1.58,1.02,2.1396,-0.6754,1.338e-01
1.60,1.02,2.1996,-0.6230,9.670e-02
1.62,1.02,2.2162,-0.6266,7.527e-02
1.64,1.02,2.1996,-0.6746,6.231e-02
1.66,1.02,2.1616,-0.7536,5.424e-02
